text,analisis_textblob,analisis_naive_bayes
mana mbak sasa stepenson,Netral,Positif
bang eka please buatin mixnya lagu bad blod campur sambaladonya tuh bagus banget,Positif,Positif
watch me whip naenae,Netral,Positif
10 nama lgunya apa,Netral,Netral
aulion paling hebat,Netral,Positif
sory min telat 4tahun,Negatif,Negatif
nama lagu pas slowmotion apa,Netral,Netral
sial kaget ada yongleklangsung banting nih hp gw,Netral,Netral
masa liat ketawa sendiri kece abis,Netral,Positif
aulion hebat banget,Positif,Positif
keren banget emg bikin merinding,Positif,Positif
tahun 2016 ngajak motovloger donk,Netral,Positif
nama musik menit ke 14 apa,Netral,Netral
holy shiet just realize thats rich chiga fux 5,Positif,Positif
2016 ajak motomobi ridwan hanif sama motovloger2,Netral,Netral
baju pink tadi sopo yo wkwkwk,Negatif,Negatif
2020 spa msih nton mana ytrewind 2019 nya ktnya 2019 bnyak yutuber,Netral,Positif
nonton rewind 2021 langsung kesini,Positif,Positif
kangen aulion arap bayu skak,Netral,Positif
gila sampe merinding gua pas lagu where are now,Negatif,Negatif
produksion saya kalian,Netral,Positif
dunia entertainment indonesia di tangan kalian,Netral,Netral
untung masker kak aulion ndak miring sini,Positif,Positif
nonton 2021 mana aja,Netral,Positif
tetap jadi youtube rewind paling kesan,Positif,Positif
youtube rewind paling thebest,Positif,Positif
pingin ke masa lalutapi waktu bisa ulang,Netral,Positif
before analoger coming,Netral,Positif
ajak bang tara sama gema 2k16,Netral,Positif
kak bantu bikin video,Netral,Positif
sangar temenan uapik jos,Netral,Positif
wow moyu video,Positif,Positif
kangen banget youtuber legend bukan youtuber bopung narkoboy siapa nonton 2020 like,Positif,Positif
judul lagu sakit apa,Netral,Netral
stop motion nya gila,Negatif,Negatif
siapa ke sini liat rewind 2021,Netral,Positif
lagu sakit judul apa,Netral,Netral
seru nih saman nya kompak banget,Positif,Positif
so much moments se you on 2k16,Positif,Negatif
siapa kesini gara gara youtube rewind 2023,Netral,Positif
yang datang kesini nonton rewind 2020,Netral,Positif
sumpah keren sangat kalah sama youtube rewind dunia,Netral,Netral
bkn nya upload hari ya,Netral,Positif
mana nihyoutuber sumatera hehemasa pulau jawa semua,Netral,Positif
sumpah keren,Positif,Positif
widih keren kaya youtuber ingris,Positif,Positif
aku lebih suka pas aulions terus lagu bad blod suka situ,Negatif,Positif
lagu menit 13 lagu nya apa kalau tau,Netral,Netral
mantap dah youtubers indonesia,Positif,Positif
kesini garagara reza arap hapus chanel siapa2018,Netral,Positif
52 kagum rich brian brobrok,Positif,Positif
where tara arts indo where gema show indo,Netral,Positif
lagu menit 52 apa,Netral,Netral
ke 56 lagu nya apa,Netral,Netral
nice work team,Positif,Positif
gw kangen jaman ytbers iniskrng isi artis semua malah isi gimik terus be yourself semua ama surender2 tuh moga 2020 ngk kyk yt rewind 2018,Netral,Positif
gue bingung ga kak edho,Negatif,Negatif
youtube rewind 2016 nya kapan,Netral,Positif
reuploader mana,Netral,Positif
kok ada si edho si bagus kok,Positif,Positif
keren banget buat k eka music nya bagus banget like it waktu semua satu ngedance ak langsung merinding keren abis,Positif,Positif
gila kangen banget gua,Negatif,Negatif
ko tiba tiba muncul home yt rewind 2015nya gitu yt rewind 2018 coming son,Netral,Positif
mantep buanget banga banget jadi anak indonesia,Netral,Positif
20152019 tahun ter the best si,Positif,Positif
jaman dubsmash,Netral,Positif
misi dari dunia masa depan,Netral,Positif
21 nyata trend gin udah di 2015 dong,Positif,Positif
bagus banget suka,Positif,Positif
rich brian in here nonton youtube 2014dan baru sadar,Positif,Positif
keren gila ngx bosen aku ulang terus kece kece,Negatif,Negatif
klo lokasi nya gadisitu aja bro but col gakalah ama luar kreatif,Negatif,Negatif
scene aulion sini ga ganti sih wkwk dabest,Netral,Positif
2015 ambar lagu kpop tenar,Positif,Positif
jadi kangen masa,Negatif,Negatif
hebat jaya terus youtubers,Positif,Positif
parah keren abis,Positif,Positif
analog serang wkwkw,Netral,Positif
201520162018yg paling suka ini kangen rasa,Positif,Positif
mn gemers cilik main game,Negatif,Negatif
kok nama koharo jadi kimberly wkwkw,Netral,Positif
love love lovelove,Positif,Positif
siapa kesini gara gara abis liat youtube rewind 2021 wkwk,Netral,Positif
gila bagus banget bikin dong,Positif,Positif
lagu pertama kali apa please jwb donk,Positif,Netral
judul lagu menit 0352 apa tolong kasih tau,Netral,Positif
that stop motion tho,Netral,Positif
lewat beranda njir,Netral,Positif
lebih enak lihat soal gada atanya,Positif,Positif
kangen sama arap dh seru konten2nya,Positif,Positif
bom bom bomindonesian youtubers makin kaya youtubesukses terus indonesian youtubers,Netral,Positif
judul lagu menit 56 kaya suara sin chan,Positif,Positif
youtube rewind 2016 ada youtubers kepo,Netral,Positif
kesini telah nton rewind 2023 kangen banget,Positif,Negatif
keren banget buat tahun 2016,Positif,Positif
dlu fun now just giveaway buat indo makin hancur,Positif,Positif
awesome col,Positif,Positif
can wait to go to indonesia this country is amazing february 2016ayo,Positif,Positif
ini baik dapat ku,Positif,Positif
kayak nya kurang duar gitu,Positif,Positif
