word,clean
rewind,rewind
udh,sudah
rame,ramai
raditya,raditya
fix,selesai
kameranya,kameranya
smoga,semoga
nonton,nonton
wow,wow
rich,rich
nton,nonton
abisampe,sampai
pink,pink
the,the
btw,ngomong ngomong
edho,edho
what,what
menyerang,menyerang
pengen,pengen
aulion,aulion
rando,rando
penampakan,penampakan
editnya,editnya
chandra,chandra
judulnya,judulnya
gold,gold
scene,scene
hahaha,hahaha
youtube,youtube
yt,youtube
yutube,youtube
here,disini
kebanyakan,kebanyakan
azka,azka
god,bagus
eno,eno
youtuber,youtuber
yor,youtube
eclips,eclips
rewaid,rewind
young,young
ngak,tidak
eclipse,eclipse
who,siapa
aing,saya
baper,baper
ga,tidak
yg,yang
yutuber,youtuber
terlihat,terlihat
karen,keren
gak,tidak
perhatikan,perhatikan
subs,subscriber
brian,brian
ane,saya
menurut,menurut
bsok,besok
gw,saya
ikutan,ikutan
im,saya
baget,banget
tu,itu
bat,atau
fck,fuck
awkarin,awkarin
mantab,mantap
ntah,entah
behind,behind
berharap,berharap
dovi,andovi
bagusan,bagusan
ngakak,ngakak
dulu,dulu
arap,arap
bosenin,bosenin
katanya,katanya
kg,kangen
hua,bagus
terjadi,terjadi
coeg,kamu
gokil,gokil
disini,disini
perem,perem
is,adalah
fotonya,fotonya
ditungu,ditunggu
maksudnya,maksudnya
ata,atta
thun,tahun
dibanding,banding
terbaek,terbaik
mantep,mantap
kualitasnya,kualitas
alig,apa
gara,gara gara
judulnyashare,judul nya share
civil,sipil
semuanya,semua
moment,momen
lagunya,lagunya
sapah,sampah
asik,asik
lebik,lebih
awowlwokwkwkw,hahaha
ngeditnya,ngeditnya
old,old
ei,hai
angkatan,angkatan
njir,wih
aska,azka
cuy,hai
bener,benar
akhirnya,akhirnya
kemampuan,kemampuan
arief,arief
chanel,channel
nesie,nesie
ajakajak,ajak ajak
link,link
skiny,skinny
zenmatho,zenmatho
kerenan,lebih keren
like,like
tiktok,tiktok
udah,sudah
epic,epic
youtubers,youtuber
backsoudnya,backsound
gokilapalagi,gokil
blm,belum
syet,apa
rewatch,rewatch
bgt,banget
knp,kenapa
notch,notch
very,very
scenenya,scenenya
terasa,terasa
omg,omg
cubang,lucu banget
devina,devina
beuh,mantap
jonatan,jonatan
meriah,meriah
mampang,mampang
pa,pa
adanya,adanya
kerenmemang,keren memang
nya,nya
edhozel,edhozel
gk,tidak
reviewer,reviewer
garapan,garapan
vidio,video
banga,bangga
ko,kenapa
coming,coming
please,please
aha,hahaha
ntap,mantap
proud,proud
give,give
klo,kalau
skak,skak
justin,justin
simple,simple
youtubersekarang,youtuber sekarang
apan,apaan
legend,legend
stil,still
dejavu,dejavu
bagusekali,bagus sekali
yourubers,youtuber
mantapterus,mantap terus
ytr,youtube rewind
