text,tweet_english
mana mbak sasa stepenson,where is mbak sasa stepenson
bang eka please buatin mixnya lagu bad blod campur sambaladonya tuh bagus banget,bang eka please make the mix of the song bad blod mix sambaladonya is really good
watch me whip naenae,watch me whip naenae
10 nama lgunya apa,10 what 'S the name OF the lagoons
aulion paling hebat,the ultimate aulion
sory min telat 4tahun,sory min 4years late
nama lagu pas slowmotion apa,what is the name of the song pas slowmotion
sial kaget ada yongleklangsung banting nih hp gw,damn surprise there is yongleklangsung banting ya hp gw
masa liat ketawa sendiri kece abis,the look of time laughing at itself kece abis
aulion hebat banget,aulion is really great
keren banget emg bikin merinding,so cool emg it gives me goosebumps
tahun 2016 ngajak motovloger donk,2016 invited motovloger donk
nama musik menit ke 14 apa,what is the name of the 14 minute music
holy shiet just realize thats rich chiga fux 5,holy shiet just realize thats rich chiga fux 5
2016 ajak motomobi ridwan hanif sama motovloger2,2016 invites motomobi ridwan hanif and motovloger2
baju pink tadi sopo yo wkwkwk,pink shirt was sopo yo wkwkwk
2020 spa msih nton mana ytrewind 2019 nya ktnya 2019 bnyak yutuber,2020 spa msih nton mana ytrewind 2019 nya ktnya 2019 bnyak yutuber
nonton rewind 2021 langsung kesini,watch rewind 2021 directly here
kangen aulion arap bayu skak,kangen aulion arap bayu check
gila sampe merinding gua pas lagu where are now,crazy until I got goosebumps right where are you now
produksion saya kalian,my productions you guys
dunia entertainment indonesia di tangan kalian,indonesian entertainment world in your hands
untung masker kak aulion ndak miring sini,"fortunately, the aulion mask is not tilted here"
nonton 2021 mana aja,watch 2021 anywhere
tetap jadi youtube rewind paling kesan,still be the most impactful rewind youtube
youtube rewind paling thebest,youtube rewind most thebest
pingin ke masa lalutapi waktu bisa ulang,want to go back in time but time can repeat itself
before analoger coming,before analoger coming
ajak bang tara sama gema 2k16,ask bang tara sama gema 2k16
kak bantu bikin video,sis help make a video
sangar temenan uapik jos,sangar temenan uapik jos
wow moyu video,wow moyu video
kangen banget youtuber legend bukan youtuber bopung narkoboy siapa nonton 2020 like,kangen really youtuber legend not youtuber bopung narkoboy who watched 2020 like
judul lagu sakit apa,what song title hurts
stop motion nya gila,stop motion is crazy
siapa ke sini liat rewind 2021,who went here to see rewind 2021
lagu sakit judul apa,what title pain song
seru nih saman nya kompak banget,"it's fun, the suit is very compact"
so much moments se you on 2k16,so much moments se you on 2k16
siapa kesini gara gara youtube rewind 2023,who is here because of youtube rewind 2023
yang datang kesini nonton rewind 2020,who came here to watch rewind 2020
sumpah keren sangat kalah sama youtube rewind dunia,i swear I'm so outdone by youtube rewind the world
bkn nya upload hari ya,bkn nya upload hari ya
mana nihyoutuber sumatera hehemasa pulau jawa semua,mana nihyoutuber sumatera hehemasa java island all
sumpah keren,cool oath
widih keren kaya youtuber ingris,widih cool rich youtuber ingris
aku lebih suka pas aulions terus lagu bad blod suka situ,i prefer pas aulions then bad blod song like it
lagu menit 13 lagu nya apa kalau tau,13 minute song what if you know
mantap dah youtubers indonesia,steady dah youtubers indonesia
kesini garagara reza arap hapus chanel siapa2018,come here garagara reza arap delete whose channel2018
52 kagum rich brian brobrok,52 amazed by rich brian brobrok
where tara arts indo where gema show indo,where tara arts indo where echo show indo
lagu menit 52 apa,what is a 52 minute song
ke 56 lagu nya apa,to 56 what's the song
nice work team,nice work team
gw kangen jaman ytbers iniskrng isi artis semua malah isi gimik terus be yourself semua ama surender2 tuh moga 2020 ngk kyk yt rewind 2018,gw kangen era ytbers iniskrng contents of all artists even contents of gimmicks continue to be yourself all ama surender2 tuh moga 2020 ngk kyk yt rewind 2018
gue bingung ga kak edho,"i'm confused, Edho"
youtube rewind 2016 nya kapan,youtube rewind 2016 when
reuploader mana,which reuploader
kok ada si edho si bagus kok,how come there is a good edho
keren banget buat k eka music nya bagus banget like it waktu semua satu ngedance ak langsung merinding keren abis,really cool for k eka the music is really good like it when all one ngedance ak immediately goosebumps cool abis
gila kangen banget gua,crazy miss me so much
ko tiba tiba muncul home yt rewind 2015nya gitu yt rewind 2018 coming son,you suddenly appear home yt rewind 2015nya gitu yt rewind 2018 coming son
